PC1,PC2,PC3,PC4,Tissue,age
67.01159204107164,9.039649392113915,-47.72864574479341,23.227016398068788,Pituitary,60-69
66.77925978849292,19.091932362507507,-41.15496157497868,30.67235831427528,Pituitary,50-59
57.9743165540215,8.300606081067182,-36.822215201052984,25.990739790881573,Pituitary,60-69
72.12207978399381,16.99221009295279,-39.55326167951617,30.464852827338404,Pituitary,50-59
75.64588584226279,25.645660263455866,-40.06174706915146,31.15220857919913,Pituitary,50-59
72.29693466642087,16.849431966453583,-37.451786300100196,30.59134157294941,Pituitary,40-49
54.88479237238537,20.077798139906047,-48.75057543393519,20.819309254254335,Pituitary,50-59
59.498995328424535,13.392806026374862,-51.47433142725285,22.564164872029224,Pituitary,50-59
33.75209464026576,-0.5000444466541517,-48.52892395351336,1.1943954717725769,Pituitary,60-69
63.95346710760723,20.424154961059337,-38.47398610385402,24.150770269463287,Pituitary,60-69
75.79906363477019,10.31351854557199,-31.4092476873668,25.8140741223891,Pituitary,50-59
65.81689115255193,16.723286133389248,-46.577240031779276,24.814695546327446,Pituitary,70-79
57.491181739141084,19.82498439414648,-53.28625587616102,22.91155427693185,Pituitary,60-69
53.05928717125365,17.433340100824005,-48.4615561301157,13.324221252705996,Pituitary,60-69
65.54651279832687,26.0233184627996,-38.78414059307801,35.40712706856456,Pituitary,70-79
65.06871127347091,22.37318661111681,-46.52454046483522,26.358463540082933,Pituitary,50-59
61.89995507699922,23.784644572727963,-42.667870994203945,26.872431429900512,Pituitary,60-69
38.9794561962101,8.46747140464259,-39.363134861373084,28.870821759451697,Pituitary,60-69
61.84110639853474,16.393324107852703,-30.89774511175957,26.48100430421739,Pituitary,60-69
51.64453900318257,22.50092100061436,-41.571850424300436,21.293662494034205,Pituitary,50-59
60.69975213509369,17.7199195810564,-49.46119900333047,23.433437725617612,Pituitary,60-69
77.56808391716851,27.162826324932954,-38.778145829156735,31.49688529621387,Pituitary,60-69
61.45764964324957,25.127924249021092,-47.11209825790728,33.74803009401044,Pituitary,60-69
60.2235347543015,10.159219399700227,-46.5571755501218,20.089597465398267,Pituitary,50-59
